productCode,productName,endingQty,endingAmount,rowType,excludeFromImport,confidence,sourceSheet,sourceRow
1019018,กุญแจบ้าน(เล็ก)ธรรมดาของใน,6182.00,46365.00,PRODUCT,false,HIGH,Stock-2025-ASAD.xlsx/Cost12,12
1019025,กุญแจบ้าน(ใหญ่)ธรรมดาของใน,7563.00,58973.81,PRODUCT,false,HIGH,Stock-2025-ASAD.xlsx/Cost12,13
1029017,กุญแจบ้านบิทของในแบบที่ 1,5.00,42.50,PRODUCT,false,HIGH,Stock-2025-ASAD.xlsx/Cost12,14
1029024,กุญแจบ้านบิทของในแบบที่ 2,472.00,4720.00,PRODUCT,false,HIGH,Stock-2025-ASAD.xlsx/Cost12,15
1039016,กุญแจบ้านครอสของใน,97.00,2231.00,PRODUCT,false,HIGH,Stock-2025-ASAD.xlsx/Cost12,16
1049015,กุญแจบ้านพิเศษของใน,681.00,7227.89,PRODUCT,false,HIGH,Stock-2025-ASAD.xlsx/Cost12,17
1059014,กุญแจบ้าน(ตัด/นิเคิล)พิเศษของในแบบที่ 1,361.00,3068.50,PRODUCT,false,HIGH,Stock-2025-ASAD.xlsx/Cost12,18
1059021,กุญแจบ้าน(ตัด/นิเคิล)พิเศษของในแบบที่ 2,866.00,12574.00,PRODUCT,false,HIGH,Stock-2025-ASAD.xlsx/Cost12,19
11019015,กุญแจรถแบบธรรมดาของใน,1291.00,12826.00,PRODUCT,false,HIGH,Stock-2025-ASAD.xlsx/Cost12,20
12019014,กุญแจมอเตอร์ไซค์แบบธรรมดาของใน,1810.00,11417.00,PRODUCT,false,HIGH,Stock-2025-ASAD.xlsx/Cost12,21
21019012,กุญแจรถหัวยางของในแบบธรรมดาแบบที่ 1,226.00,3106.00,PRODUCT,false,HIGH,Stock-2025-ASAD.xlsx/Cost12,22
21019029,กุญแจรถหัวยางของในแบบธรรมดาแบบที่ 2,884.00,11899.00,PRODUCT,false,HIGH,Stock-2025-ASAD.xlsx/Cost12,23
21029011,กุญแจรถหัวยางของในมีสติ๊กเกอร์,715.00,14540.00,PRODUCT,false,HIGH,Stock-2025-ASAD.xlsx/Cost12,24
21039010,กุญแจรถพิเศษแบบอื่น ๆ,410.00,18450.00,PRODUCT,false,HIGH,Stock-2025-ASAD.xlsx/Cost12,25
22019011,กุญแจมอเตอร์ไซค์หัวยางของในแบบธรรมดา,789.00,6682.00,PRODUCT,false,HIGH,Stock-2025-ASAD.xlsx/Cost12,26
22029010,กุญแจมอเตอร์ไซค์หัวยางของในแบบมีสติ๊กเกอร์,440.00,5280.00,PRODUCT,false,HIGH,Stock-2025-ASAD.xlsx/Cost12,27
31019019,กุญแจรถตัดเลเซอร์ของในแบบธรรมดา,268.00,12395.00,PRODUCT,false,HIGH,Stock-2025-ASAD.xlsx/Cost12,28
31029018,กุญแจรถตัดเลเซอร์ของในแบบมีสติ๊กเกอร์,139.00,8340.00,PRODUCT,false,HIGH,Stock-2025-ASAD.xlsx/Cost12,29
31039017,กุญแจตัดเลเซอร์ของในแบบดัดแปลง,19.00,605.00,PRODUCT,false,HIGH,Stock-2025-ASAD.xlsx/Cost12,30
31039024,กุญแจตัดเลเซอร์ของในแบบเจาะรู,211.00,7385.00,PRODUCT,false,HIGH,Stock-2025-ASAD.xlsx/Cost12,31
36019014,กุญแจ Immobilizer แบบธรรมดา,39.00,15600.00,PRODUCT,false,HIGH,Stock-2025-ASAD.xlsx/Cost12,33
